STATE,DISTRICT,Year,pH,NO3
Assam,Biswanath,2020.0,7.959999999999999,1.424
Assam,Biswanath,2021.0,8.1,15.26
Assam,Biswanath,2022.0,7.3375,21.975
Assam,Biswanath,2023.0,7.816,2.4
Assam,Bongaigaon,2020.0,8.24,5.664
Assam,Bongaigaon,2021.0,7.884,0.0579999999999999
Assam,Bongaigaon,2022.0,7.3075,7.8
Assam,Bongaigaon,2023.0,6.936666666666667,3.333333333333333
Assam,Cachar,2021.0,6.929090909090909,1.3263636363636364
Assam,Cachar,2023.0,6.88,11.428571428571429
Assam,Chirang,2020.0,7.7,0.0
Assam,Chirang,2021.0,7.324999999999999,5.23
Assam,Chirang,2022.0,7.25625,3.35
Assam,Darrang,2019.0,7.61125,1.7671875
Assam,Darrang,2020.0,8.6,0.22
Assam,Darrang,2021.0,7.93,0.04
Assam,Darrang,2022.0,7.933,23.375
Assam,Darrang,2023.0,7.140000000000001,28.0
Assam,Dhalai,2020.0,7.93,1.6789999999999998
Assam,Dhemaji,2020.0,8.02,1.448
Assam,Dhemaji,2021.0,8.325,9.435
Assam,Dhemaji,2022.0,7.169625,3.7
Assam,Dhemaji,2023.0,7.594444444444444,1.1111111111111112
Assam,Dhubri,2019.0,7.4655172413793105,0.6643068965517241
Assam,Dhubri,2020.0,8.26,2.772
Assam,Dhubri,2021.0,8.17,0.5
Assam,Dhubri,2022.0,7.50275,3.725
Assam,Dhubri,2023.0,7.975,3.0
Assam,Dibrugarh,2019.0,7.755,5.528333333333333
Assam,Dibrugarh,2020.0,8.4,0.08
Assam,Dibrugarh,2021.0,8.03,1.46
Assam,Dibrugarh,2022.0,7.614791666666666,3.05
Assam,Dibrugarh,2023.0,7.459999999999999,0.4
Assam,Dimapur,2020.0,8.149999999999999,0.0
Assam,East Garo Hills,2020.0,6.4,5.298
Assam,East Siang,2020.0,7.933333333333334,3.8433333333333337
Assam,Goalpara,2019.0,7.813333333333333,2.5166666666666666
Assam,Goalpara,2020.0,7.466666666666666,11.123333333333331
Assam,Goalpara,2021.0,7.225714285714285,0.4942857142857143
