STATE,DISTRICT,Year,pH,NO3
Bihar,Vaishali,2023.0,8.314375,4.5625
Chandigarh,Chandigarh,2019.0,8.173,12.1
Chandigarh,Chandigarh,2020.0,8.083333333333334,2.0583333333333336
Chandigarh,Chandigarh,2021.0,8.285,12.75
Chhattisgarh,Balod,2019.0,7.459166666666667,45.7225
Chhattisgarh,Balod,2020.0,8.1,42.7
Chhattisgarh,Balod,2021.0,7.55,13.625
Chhattisgarh,Balod,2022.0,8.143333333333333,14.9
Chhattisgarh,Balod,2023.0,7.697500000000001,23.25
Chhattisgarh,Bastar,2019.0,7.447619047619048,15.086190476190476
Chhattisgarh,Bastar,2020.0,7.740909090909091,11.275454545454545
Chhattisgarh,Bastar,2021.0,7.347368421052631,11.947368421052632
Chhattisgarh,Bastar,2022.0,7.9955,12.41
Chhattisgarh,Bastar,2023.0,7.410500000000001,9.8
Chhattisgarh,Bemetara,2019.0,7.219565217391305,27.929565217391303
Chhattisgarh,Bemetara,2020.0,8.333333333333334,39.65
Chhattisgarh,Bemetara,2021.0,7.550000000000001,24.27777777777778
Chhattisgarh,Bemetara,2022.0,8.128235294117648,15.147058823529411
Chhattisgarh,Bemetara,2023.0,7.784999999999999,16.45
Chhattisgarh,Bilaspur,2019.0,7.504761904761905,10.037857142857142
Chhattisgarh,Bilaspur,2020.0,7.9381818181818184,27.203636363636363
Chhattisgarh,Bilaspur,2021.0,7.701639344262295,17.360655737704917
Chhattisgarh,Bilaspur,2022.0,8.136779661016948,14.45593220338983
Chhattisgarh,Bilaspur,2023.0,7.798928571428571,16.410714285714285
Chhattisgarh,Dhamtari,2019.0,7.098333333333334,16.867857142857144
Chhattisgarh,Dhamtari,2020.0,7.757142857142857,27.285714285714285
Chhattisgarh,Dhamtari,2021.0,7.5344827586206895,11.758620689655173
Chhattisgarh,Dhamtari,2022.0,7.550000000000001,10.488461538461538
Chhattisgarh,Dhamtari,2023.0,7.902857142857143,5.809523809523809
Chhattisgarh,Durg,2019.0,7.543703703703703,25.683703703703706
Chhattisgarh,Durg,2020.0,8.079245283018867,34.225660377358494
Chhattisgarh,Durg,2021.0,7.587755102040816,24.489795918367346
Chhattisgarh,Durg,2022.0,8.0,26.455932203389832
Chhattisgarh,Durg,2023.0,7.774428571428572,25.65714285714286
Chhattisgarh,Gariyaband,2019.0,7.3,4.2
Chhattisgarh,Gariyaband,2021.0,7.9,25.0
Chhattisgarh,Janjgir-Champa,2019.0,7.550784313725489,19.519607843137255
Chhattisgarh,Janjgir-Champa,2020.0,7.823809523809524,18.58809523809524
Chhattisgarh,Janjgir-Champa,2021.0,7.6000000000000005,20.976744186046513
Chhattisgarh,Jashpur,2019.0,7.611571428571428,18.945714285714285
Chhattisgarh,Jashpur,2020.0,7.7126760563380286,19.66154929577465
Chhattisgarh,Jashpur,2021.0,7.52280701754386,12.929824561403509
Chhattisgarh,Jashpur,2022.0,7.92051724137931,25.486206896551725
Chhattisgarh,Jashpur,2023.0,7.634666666666667,17.4
Chhattisgarh,Kondagaon,2019.0,7.5,14.31
Chhattisgarh,Kondagaon,2020.0,7.875,10.432500000000001
Chhattisgarh,Kondagaon,2021.0,7.5,19.5
Chhattisgarh,Kondagaon,2022.0,8.26,4.6
Chhattisgarh,Kondagaon,2023.0,7.245,13.0
Chhattisgarh,Korba,2019.0,7.903239436619718,24.53239436619718
Chhattisgarh,Korba,2020.0,7.81923076923077,26.75769230769231
Chhattisgarh,Korba,2021.0,7.701960784313726,17.49019607843137
Chhattisgarh,Korba,2022.0,8.015714285714285,8.957142857142857
Chhattisgarh,Korba,2023.0,7.464772727272727,16.65909090909091
Chhattisgarh,Mahasamund,2019.0,7.8,25.04764705882353
Chhattisgarh,Mahasamund,2020.0,7.880952380952381,27.934285714285714
Chhattisgarh,Mahasamund,2021.0,7.675,18.875
Chhattisgarh,Mahasamund,2022.0,7.751739130434783,19.104347826086954
Chhattisgarh,Mahasamund,2023.0,7.615909090909091,23.136363636363637
Chhattisgarh,Mungeli,2019.0,8.023076923076923,23.207692307692305
Chhattisgarh,Mungeli,2020.0,7.922727272727273,34.57272727272727
Chhattisgarh,Mungeli,2023.0,7.593571428571429,24.571428571428573
Chhattisgarh,Raigarh,2019.0,7.765744680851064,11.588723404255319
Chhattisgarh,Raigarh,2020.0,7.94,17.89528
Chhattisgarh,Raigarh,2021.0,7.914285714285715,45.582417582417584
Chhattisgarh,Raigarh,2022.0,8.029504950495049,15.643564356435643
Chhattisgarh,Raigarh,2023.0,7.615281690140844,13.859154929577464
Chhattisgarh,Raipur,2019.0,7.5063157894736845,24.368157894736843
Chhattisgarh,Raipur,2020.0,7.863157894736842,35.50447368421053
Chhattisgarh,Raipur,2021.0,7.668421052631579,34.8421052631579
Chhattisgarh,Raipur,2022.0,7.649565217391304,42.1695652173913
Chhattisgarh,Raipur,2023.0,7.63875,18.5
Chhattisgarh,Rajnandgaon,2019.0,7.816666666666666,32.586666666666666
Chhattisgarh,Rajnandgaon,2020.0,8.1,48.457142857142856
Chhattisgarh,Rajnandgaon,2021.0,7.7749999999999995,32.138888888888886
Chhattisgarh,Rajnandgaon,2022.0,7.986800000000001,28.526
Chhattisgarh,Rajnandgaon,2023.0,7.736326530612245,24.122448979591837
Chhattisgarh,Surajpur,2019.0,7.886585365853659,21.400243902439023
Chhattisgarh,Surajpur,2021.0,7.477500000000001,14.875
Chhattisgarh,Surajpur,2022.0,7.467428571428572,14.274285714285716
Chhattisgarh,Surajpur,2023.0,7.5753125,15.59375
Chhattisgarh,Surguja,2019.0,7.765483870967741,12.870645161290323
Chhattisgarh,Surguja,2021.0,7.728571428571429,20.714285714285715
Chhattisgarh,Surguja,2022.0,7.7303225806451605,18.364516129032257
Chhattisgarh,Surguja,2023.0,7.322500000000001,15.666666666666666
Delhi,Central,2021.0,8.1,147.0
Delhi,Central,2023.0,8.005714285714285,18.142857142857142
Delhi,East,2023.0,7.622,15.0
Delhi,New Delhi,2021.0,8.73,19.0
Delhi,New Delhi,2023.0,7.8500000000000005,27.88888888888889
Delhi,North,2023.0,8.09,11.904761904761905
Delhi,North East,2023.0,7.7299999999999995,11.333333333333334
Delhi,North West,2023.0,7.8950000000000005,98.85714285714286
Delhi,Shahdara,2023.0,7.83,18.5
Delhi,South,2021.0,8.4,38.0
Delhi,South,2023.0,7.74375,77.375
Delhi,South East,2023.0,7.6657142857142855,36.57142857142857
Delhi,South West,2021.0,8.33,0.0
Delhi,South West,2023.0,8.321333333333333,50.06666666666667
Delhi,West,2023.0,8.026,48.1
Goa,North Goa,2019.0,7.956875,9.1875
Goa,North Goa,2023.0,5.57,8.0
Goa,South Goa,2019.0,7.861739130434782,7.173913043478261
Goa,South Goa,2023.0,5.74125,1.25
Gujarat,Ahmedabad,2019.0,8.122222222222222,151.89999999999998
Gujarat,Ahmedabad,2020.0,7.933333333333333,38.19416666666667
Gujarat,Ahmedabad,2021.0,7.94,10.045454545454545
Gujarat,Ahmedabad,2023.0,8.203333333333333,78.16666666666667
Gujarat,Amreli,2019.0,8.043846153846154,68.5
Gujarat,Amreli,2020.0,7.994871794871795,60.467948717948715
Gujarat,Amreli,2021.0,8.235238095238095,66.04761904761905
Gujarat,Amreli,2023.0,7.994375,29.03125
Gujarat,Anand,2019.0,8.09,28.18
Gujarat,Anand,2020.0,8.3,35.13666666666667
Gujarat,Anand,2021.0,8.243333333333332,50.099999999999994
Gujarat,Anand,2023.0,7.920000000000001,43.166666666666664
Gujarat,Arvalli,2021.0,7.888181818181818,64.72727272727273
Gujarat,Arvalli,2023.0,7.7993749999999995,61.25
Gujarat,Bharuch,2019.0,7.66875,202.875
Gujarat,Bharuch,2020.0,7.8374999999999995,31.86375
Gujarat,Bharuch,2021.0,8.198636363636364,35.06818181818182
