STATE,DISTRICT,Year,pH,NO3
Andhra Pradesh,Srikakulam,2019,7.270212765957447,39.191489361702125
Andhra Pradesh,Srikakulam,2020,7.330215918045705,38.93710401891253
Andhra Pradesh,Srikakulam,2021,7.390219070133964,38.682718676122924
Andhra Pradesh,Srikakulam,2022,7.450222222222222,38.42833333333333
Andhra Pradesh,Srikakulam,2023,7.466530612244898,34.04081632653061
Andhra Pradesh,Tirupati,2019,7.732,10.266666666666667
Andhra Pradesh,Tirupati,2020,7.732,10.266666666666667
Andhra Pradesh,Tirupati,2021,7.732,10.266666666666667
Andhra Pradesh,Tirupati,2022,7.732,10.266666666666667
Andhra Pradesh,Tirupati,2023,7.732,10.266666666666667
Andhra Pradesh,Visakhapatnam,2019,7.618983050847457,53.30508474576271
Andhra Pradesh,Visakhapatnam,2020,7.5004290254237285,48.683792372881356
Andhra Pradesh,Visakhapatnam,2021,7.381875,44.0625
Andhra Pradesh,Visakhapatnam,2022,7.490289855072464,32.87391304347826
Andhra Pradesh,Visakhapatnam,2023,6.976000000000001,36.7
Andhra Pradesh,Vizianagaram,2019,7.498541666666667,39.770833333333336
Andhra Pradesh,Vizianagaram,2020,7.434809027777778,42.36284722222222
Andhra Pradesh,Vizianagaram,2021,7.3710763888888895,44.954861111111114
Andhra Pradesh,Vizianagaram,2022,7.30734375,47.546875
Andhra Pradesh,Vizianagaram,2023,7.068666666666666,28.666666666666668
Andhra Pradesh,West Godavari,2019,7.836153846153847,24.9975
Andhra Pradesh,West Godavari,2020,7.7967179920304925,23.565056306306307
Andhra Pradesh,West Godavari,2021,7.757282137907138,22.13261261261261
Andhra Pradesh,West Godavari,2022,7.717846283783784,20.70016891891892
Andhra Pradesh,West Godavari,2023,7.666923076923077,13.961538461538462
Arunachal Pradesh,Changlang,2019,7.09,0.0
Arunachal Pradesh,Changlang,2020,7.15,0.76
Arunachal Pradesh,Changlang,2021,7.835,5.87
Arunachal Pradesh,Changlang,2022,7.553,6.3
Arunachal Pradesh,Changlang,2023,7.27,0.0
Arunachal Pradesh,East Siang,2019,7.836666666666666,9.333333333333332
Arunachal Pradesh,East Siang,2020,7.836666666666666,9.333333333333332
Arunachal Pradesh,East Siang,2021,7.836666666666666,9.333333333333332
Arunachal Pradesh,East Siang,2022,7.766666666666667,16.333333333333332
Arunachal Pradesh,East Siang,2023,7.906666666666666,2.333333333333333
Arunachal Pradesh,Lohit,2019,7.64,1.06
Arunachal Pradesh,Lohit,2020,7.515,0.56
Arunachal Pradesh,Lohit,2021,7.39,0.06
Arunachal Pradesh,Lohit,2022,7.492999999999999,4.3
Arunachal Pradesh,Lohit,2023,7.29,0.0
Arunachal Pradesh,Lower Dibang Valley,2019,7.71,14.46
Arunachal Pradesh,Lower Dibang Valley,2020,7.71,14.46
Arunachal Pradesh,Lower Dibang Valley,2021,7.71,14.46
Arunachal Pradesh,Lower Dibang Valley,2022,7.71,14.46
Arunachal Pradesh,Lower Dibang Valley,2023,7.71,14.46
Arunachal Pradesh,Lower Subansiri,2019,7.51825,11.975
Arunachal Pradesh,Lower Subansiri,2020,7.51825,11.975
Arunachal Pradesh,Lower Subansiri,2021,7.51825,11.975
Arunachal Pradesh,Lower Subansiri,2022,7.51825,11.975
